menu,kcal,category
LA갈비찜,1184.8,국/찜/탕/찌개
가리비해물스파게티,816.06,양식/패스트푸드
가쓰오우동,397.44,일식/돈까스
가지탕수,366.79,중식/아시안
가츠동덮밥,1002.88,밥/백반/죽/국수
간장 돼지불고기,397.59,밥/백반/죽/국수
간장제육덮밥,994.64,밥/백반/죽/국수
갈낙탕,416.25,국/찜/탕/찌개
갈비맛통닭,387.21,치킨
갈비탕,486.08,국/찜/탕/찌개
갈비폭찹,435.54,고기/구이
갈치순살튀김,379.19,분식/튀김
감자그라탕,30584.34,양식/패스트푸드
감자수제비,553.03,밥/백반/죽/국수
감자수제비국,754.99,국/찜/탕/찌개
감자짜글이,612.8,밥/백반/죽/국수
감자탕,383,국/찜/탕/찌개
갑오징어불고기덮밥,575.82,밥/백반/죽/국수
게맛살덮밥,857.55,밥/백반/죽/국수
계란볶음밥,530.34,밥/백반/죽/국수
계란장조림,371.28,밥/백반/죽/국수
고구마치즈돈가스,427.86,일식/돈까스
고구마함박스테이크,521.06,고기/구이
고기덮밥,776.46,밥/백반/죽/국수
고기말이구이,513.91,고기/구이
고등어튀김,710.47,분식/튀김
고추마요치킨,672.63,치킨
고추잡채,376.52,밥/백반/죽/국수
고추장돼지불고기,583.48,밥/백반/죽/국수
곤드레나물밥,400.2,밥/백반/죽/국수
골뱅이배추비빔밥,583.5,밥/백반/죽/국수
골뱅이쫄면,771.19,분식/튀김
굴탕수,472.27,중식/아시안
궁중닭찜,425.52,국/찜/탕/찌개
궁중떡볶이,421.58,분식/튀김
김밥,601.78,분식/튀김
김밥볶음밥,497.56,밥/백반/죽/국수
김치덮밥,504.37,밥/백반/죽/국수
김치메밀전병,599.25,밥/백반/죽/국수
김치볶음밥,600.72,밥/백반/죽/국수
김치전,181.89,밥/백반/죽/국수
김치제육덮밥,990.66,밥/백반/죽/국수
김치콩나물밥,539.95,밥/백반/죽/국수
까르보나라떡볶이,387.46,분식/튀김
까르보불닭볶음면,423.07,분식/튀김
깍두기볶음밥,568.65,밥/백반/죽/국수
깐풍기,661.93,중식/아시안
깐풍버섯덮밥,499.71,밥/백반/죽/국수
깐풍새우,458.67,중식/아시안
꼬리곰탕,593.03,국/찜/탕/찌개
꼬막비빔밥,479.97,밥/백반/죽/국수
꼬지어묵우동,597.4,일식/돈까스
꽁치튀김,403.23,분식/튀김
꿔바로우,512.92,중식/아시안
나가사끼짬뽕,413.04,중식/아시안
나시고랭볶음밥,655.14,밥/백반/죽/국수
낙곱새덮밥,917.6,밥/백반/죽/국수
낙지덮밥,363,밥/백반/죽/국수
낙지부추비빔밥,610.3,밥/백반/죽/국수
낙지불고기덮밥,483.38,밥/백반/죽/국수
낙지삼겹볶음,434.29,밥/백반/죽/국수
낙지새우볶음,456.19,밥/백반/죽/국수
낙지새우삼겹살볶음,465.88,밥/백반/죽/국수
날치알비빔밥,500.41,밥/백반/죽/국수
너비아니,758.48,밥/백반/죽/국수
누들로제떡볶이,27.85,분식/튀김
단호박쭈꾸미,508.41,밥/백반/죽/국수
달콤돼지고기볶음,386.06,밥/백반/죽/국수
닭갈비,378.79,밥/백반/죽/국수
닭개장,690,국/찜/탕/찌개
닭고기덮밥,630.93,밥/백반/죽/국수
닭고기마늘볶음밥,430.7,밥/백반/죽/국수
닭고기부추밥,628.88,밥/백반/죽/국수
닭고기육개장,703.6,국/찜/탕/찌개
닭곰탕,513.13,국/찜/탕/찌개
닭껍질교자,1258.01,중식/아시안
닭다리스테이크,899.41,고기/구이
닭떡볶이,414.82,분식/튀김
닭볶음탕,383.19,국/찜/탕/찌개
닭봉달콤간장조림,617.62,밥/백반/죽/국수
닭살순대볶음,378.7,밥/백반/죽/국수
닭순살간장덮밥,660.02,밥/백반/죽/국수
닭순살부추비빔밥,689.8,밥/백반/죽/국수
닭순살야채조림,364.74,밥/백반/죽/국수
닭순살양배추볶음,370.3,밥/백반/죽/국수
닭순살치킨가스,401.26,일식/돈까스
닭순살카레밥,630.64,밥/백반/죽/국수
닭순살피망볶음,471.55,밥/백반/죽/국수
닭죽,561.53,밥/백반/죽/국수
닭튀김,364.86,치킨
대왕오징어제육볶음,410.92,밥/백반/죽/국수
대패삼겹살갈릭볶음밥,690.26,밥/백반/죽/국수
대패삼겹살볶음,846.83,밥/백반/죽/국수
대패삼겹살숙주볶음,480.94,밥/백반/죽/국수
대패삼겹숙주덮밥,675.52,밥/백반/죽/국수
데리야끼갈릭치킨,504.36,치킨
데리야끼갈비산적구이,559.71,고기/구이
데리야끼삼겹살덮밥,912.03,밥/백반/죽/국수
데리야끼장어덮밥,430.53,밥/백반/죽/국수
돈가스,534.51,일식/돈까스
돈가스마요덮밥,937.06,밥/백반/죽/국수
돈육굴소스볶음밥,485.43,밥/백반/죽/국수
돈육굴소스양배추볶음,497.92,밥/백반/죽/국수
돈육김치덮밥,590.41,밥/백반/죽/국수
돈육깐풍덮밥,1277.53,밥/백반/죽/국수
돈육야채볶음,367.76,밥/백반/죽/국수
돈육표고장조림,365.85,밥/백반/죽/국수
돈코츠라멘,230.67,일식/돈까스
동파육,376.74,중식/아시안
돼지갈비찜,426.09,국/찜/탕/찌개
돼지갈비탕,498.94,국/찜/탕/찌개
돼지고기고추장볶음,405.23,밥/백반/죽/국수
돼지고기김치볶음밥,306.56,밥/백반/죽/국수
돼지고기김치찜,424.78,국/찜/탕/찌개
돼지고기덮밥,706.46,밥/백반/죽/국수
돼지고기생야채비빔밥,889.59,밥/백반/죽/국수
돼지고기수육,1079.86,고기/구이
돼지고기장조림,386.58,밥/백반/죽/국수
돼지고기케첩볶음,512.83,밥/백반/죽/국수
돼지국밥,741.42,국/찜/탕/찌개
돼지목살폭찹,386.94,고기/구이
돼지삼겹야채볶음,502.55,밥/백반/죽/국수
두부김치,368.26,밥/백반/죽/국수
두부돼지고기덮밥,829.13,밥/백반/죽/국수
들깨삼계탕,659.79,국/찜/탕/찌개
등갈비김치찜,675.37,국/찜/탕/찌개
등뼈감자탕,731.38,국/찜/탕/찌개
떡갈비덮밥,678,밥/백반/죽/국수
떡국,281.62,국/찜/탕/찌개
떡볶이,425.98,분식/튀김
뚝배기불고기,487.67,밥/백반/죽/국수
라면,365,분식/튀김
레몬크림새우,1054.91,중식/아시안
로제돈가스,560.59,일식/돈까스
로제떡볶이,366.99,분식/튀김
로제스파게티,558.8,양식/패스트푸드
마늘간장치킨,436.45,치킨
마늘삼겹살구이,531.63,고기/구이
마라제육볶음,431.83,밥/백반/죽/국수
마파두부,430.09,중식/아시안
마파두부덮밥,681.16,밥/백반/죽/국수
만두국,461.92,국/찜/탕/찌개
맛초킹치킨,473.81,치킨
매운갈비찜볶음밥,588.42,밥/백반/죽/국수
매운깐풍기,547.55,중식/아시안
매운닭고기고구마조림,392.97,밥/백반/죽/국수
매운돼지갈비찜,476.81,국/찜/탕/찌개
매운돼지불고기,458.82,밥/백반/죽/국수
매운소갈비찜,502.01,국/찜/탕/찌개
매콤닭순살덮밥,605.11,밥/백반/죽/국수
매콤족발볶음,661.57,밥/백반/죽/국수
매콤치킨너겟볶음,523.41,밥/백반/죽/국수
메밀전병,765.51,밥/백반/죽/국수
메추리알장조림,562.5,밥/백반/죽/국수
목살필라프,331.76,양식/패스트푸드
무굴밥,417.74,밥/백반/죽/국수
무밥,398.68,밥/백반/죽/국수
무청시래기갈비찜,399.08,국/찜/탕/찌개
무청시래기갈비탕,446.65,국/찜/탕/찌개
무청시래기감자탕,390.57,국/찜/탕/찌개
문어간장달콤소스덮밥,139.42,밥/백반/죽/국수
물냉면,982.61,밥/백반/죽/국수
물만두찜,218.33,국/찜/탕/찌개
미나리삼겹살비빔밥,977.87,밥/백반/죽/국수
미트볼조림,455.65,밥/백반/죽/국수
미트소스스파게티,477.5,양식/패스트푸드
민물장어튀김,404.86,분식/튀김
바베큐볶음밥,627.63,밥/백반/죽/국수
바베큐치킨스테이크,791.4,고기/구이
바베큐폭립,638.4,고기/구이
바싹불고기,384.53,밥/백반/죽/국수
바지락비빔밥,413.36,밥/백반/죽/국수
반마리삼계탕,450.02,국/찜/탕/찌개
방어순살탕수육,387.03,중식/아시안
버섯덮밥,590.99,밥/백반/죽/국수
베이컨김치볶음밥,456.79,밥/백반/죽/국수
베이컨로제떡볶이,466.61,분식/튀김
베이컨토마토리조또,712.5,양식/패스트푸드
병천순대국밥,495.38,국/찜/탕/찌개
볶음밥,474.31,밥/백반/죽/국수
볶음진짬뽕,409,중식/아시안
부대찌개,427.5,국/찜/탕/찌개
부산식 돼지국밥,394.75,국/찜/탕/찌개
